Name,Availability,Ref,Discount,Image URL,Brand,Old Price,Price,product_url,Système d'exploitation,Mémoire,Garantie,Taille de l'écran,Type de Processeur,Disque Dur,Carte Graphique,Couleur,Store
Pc Portable DELL Vostro 3500 i5 11é Gén - 16 Go - 256Go SSD - Noir,En Stock,3500-I5-16go,nan,https://www.technopro-online.com/79913-thickbox_default/pc-portable-dell-vostro-3500-i5-11e-gen-16-go-256go-ssd-black-3500-i5-16go.jpg,DELL,79000.0,1945000,https://www.technopro-online.com/pc-portable-dell-vostro-3500-i5-11e-gen-16-go-256go-ssd-black-3500-i5-16go.html,Free Dos,16 Go,1 an,"15.6""",Intel Core I5,256 Go SSD,,Noir,OXtek
DELL Vostro 3510 i5 10è Gén 16 Go 512 SSD - Noir,En Stock,I5-1035G1-16,nan,https://www.technopro-online.com/79834-thickbox_default/dell-vostro-3510-i5-16G.jpg,DELL,nan,1949000,https://www.technopro-online.com/dell-vostro-3510-i5-16G.html,Free Dos,16 Go,1 an,"15.6""",Intel Core I5,512 Go SSD,Graphique Intégrée,,OXtek
PC Portable ASUS X515EP i5 11è Gén 24G 512Go SSD - Bleu,sur commande 24h,X515EP-BQ601W-24G,nan,https://www.technopro-online.com/93991-thickbox_default/pc-portable-asus-x515ep-i5-11e-gen-24g-512go-ssd-bleu.jpg,ASUS,nan,1959000,https://www.technopro-online.com/pc-portable-asus-x515ep-i5-11e-gen-24g-512go-ssd-bleu.html,Windows 11,24 Go,1 an,"15.6""",Intel Core I5,512 Go SSD,,Bleu,OXtek
"Pc Portable DELL Vostro 3510-i5 16Go 256Go 1135G7 1TB 15.6"" FHD",Sur Commande 48H,3510-i5-vost-16G-256SSD,nan,https://www.technopro-online.com/85479-thickbox_default/dell-vostro-3510-i5-16go-256go.jpg,DELL,nan,1959000,https://www.technopro-online.com/dell-vostro-3510-i5-16go-256go.html,Free Dos,16 Go,1 an,"15.6""",Intel Core I5,1 To,,Gris,OXtek
HP 15-dw3013nk i5 11è Gén 20Go 1To - Gris (2R0M5EA-20G),En Stock,2R0M5EA-20G,nan,https://www.technopro-online.com/79836-thickbox_default/hp-15-dw3013nk-i5-11e-gen-20go-1to-gris-2r0m5ea-20g.jpg,HP,nan,1959000,https://www.technopro-online.com/hp-15-dw3013nk-i5-11e-gen-20go-1to-gris-2r0m5ea-20g.html,Windows 10,20 Go,1 an,"15.6""",Intel Core I5,1 To,Graphique Intégrée,Gris,OXtek
HP 15-dw3014nk i5-1135G7 / 8Go / 512Go SSD -Noir,En Stock,2R0M6EA,100000.0,https://www.technopro-online.com/91225-thickbox_default/hp-15-dw3014nk-i5-1135g7-8go-512go-ssd-noir-2r0m6ea.jpg,HP,2059000.0,1959000,https://www.technopro-online.com/hp-15-dw3014nk-i5-1135g7-8go-512go-ssd-noir-2r0m6ea.html,Windows 11,8 Go,1 an,"15.6""",Intel Core I5,512 Go SSD,Graphique Intégrée,Noir,OXtek
HP 15-dw3013nk i5-1135G7 - 8Go - 512 Go SSD - Gris (2R0M5EA),En Stock,2R0M5EA,nan,https://www.technopro-online.com/91218-thickbox_default/hp-15-dw3013nk-i5-1135g7-8go-512-go-ssd-gris-2r0m5ea.jpg,HP,nan,1959000,https://www.technopro-online.com/hp-15-dw3013nk-i5-1135g7-8go-512-go-ssd-gris-2r0m5ea.html,Windows 10,8 Go,1 an,"15.6""",Intel Core I5,512 Go SSD,Graphique Intégrée,Gris,OXtek
PC Portable HP 15S-EQ2000NK / RYZEN 7 5700U / 24 GO / Blanc (455Z7EA-24),Sur commande 24H,455Z7EA-24,nan,https://www.technopro-online.com/82037-thickbox_default/-pc-portable-hp-15s-eq2000nk-ryzen-7-5700u-24-go.jpg,HP,nan,1969000,https://www.technopro-online.com/-pc-portable-hp-15s-eq2000nk-ryzen-7-5700u-24-go.html,Windows 10,24 Go,1 an,"15.6""",AMD Ryzen 7,512 Go SSD,,Blanc,OXtek
Pc Portable ASUS VIVOBOOK FLIP 14 TM420 AMD RYZEN 7 12GO 512GO SSD - NOIR,Sur commande 24h,TM420UA-EC046-12,nan,https://www.technopro-online.com/96533-thickbox_default/-pc-portable-asus-vivobook-flip-14-tm420-amd-ryzen-7-12go-512go-ssd-noir.jpg,ASUS,nan,1969000,https://www.technopro-online.com/-pc-portable-asus-vivobook-flip-14-tm420-amd-ryzen-7-12go-512go-ssd-noir.html,Free Dos,12 Go,1 an,"14""",AMD Ryzen 7,512 Go SSD,,,OXtek
PC Portable LENOVO ThinkBook i5 14 G2 ITL 11è Gén 16Go 1To - Gris (20VD00EAFE-16G),Sur commande 24H,20VD00EAFE-16G,nan,https://www.technopro-online.com/86910-thickbox_default/lenovo-thinkbook-14-g2-itl-i5-11e-gen-16go-1to-gris-tunisie.jpg,LENOVO,nan,1969000,https://www.technopro-online.com/lenovo-thinkbook-14-g2-itl-i5-11e-gen-16go-1to-gris-tunisie.html,Free Dos,16 Go,1 an,"14""",Intel Core I5,1 To,,Noir,OXtek
